날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 05월 15일,1929.07,1937.63,1938.59,1913.21,687.56K,0.21%
2020년 05월 14일,1924.96,1922.44,1931.43,1913.49,744.64K,-0.80%
2020년 05월 13일,1940.42,1897.5,1940.42,1897.24,618.78M,0.95%
2020년 05월 12일,1922.17,1938.62,1938.62,1905.17,799.93M,-0.68%
2020년 05월 11일,1935.4,1953.51,1960.46,1932.87,591.28M,-0.54%
2020년 05월 08일,1945.82,1944.94,1956.89,1942.54,784.77M,0.89%
2020년 05월 07일,1928.61,1922,1938.5,1918.57,775.66M,-0.01%
2020년 05월 06일,1928.76,1919.45,1928.76,1902.55,1.08B,1.76%
2020년 05월 04일,1895.37,1906.42,1918.66,1894.29,1.15B,-2.68%
2020년 04월 29일,1947.56,1936.89,1957.51,1934.31,1.98B,0.70%
2020년 04월 28일,1934.09,1931.25,1941.79,1911.63,1.17B,0.59%
2020년 04월 27일,1922.77,1897.06,1929.82,1894.62,735.66M,1.79%
2020년 04월 24일,1889.01,1906.07,1908.29,1880.71,933.92M,-1.34%
2020년 04월 23일,1914.73,1907.45,1923.53,1895.98,683.72M,0.98%
2020년 04월 22일,1896.15,1855.51,1897.9,1844.85,820.36M,0.89%
2020년 04월 21일,1879.38,1886.78,1898.32,1841.66,1.17B,-1.00%
2020년 04월 20일,1898.36,1908.34,1925.25,1893.17,1.09B,-0.84%
2020년 04월 17일,1914.53,1893.31,1926.02,1893.19,1.67B,3.09%
2020년 04월 16일,1857.07,1839.51,1862.23,1828.13,878.34M,-0.00%
2020년 04월 14일,1857.08,1846.41,1864.46,1837.17,886.77M,1.72%
2020년 04월 13일,1825.76,1853.3,1853.3,1825.76,1.02B,-1.88%
2020년 04월 10일,1860.7,1835.76,1861.1,1824.43,992.55M,1.33%
2020년 04월 09일,1836.21,1838.09,1839.33,1818.3,920.57M,1.61%
2020년 04월 08일,1807.14,1815.75,1842.16,1801.8,907.49M,-0.90%
2020년 04월 07일,1823.6,1826.72,1838.97,1791.92,951.74M,1.77%
2020년 04월 06일,1791.88,1745.25,1794.19,1742.67,1.22B,3.85%
2020년 04월 03일,1725.44,1731.17,1743.91,1706.68,1.00B,0.03%
2020년 04월 02일,1724.86,1693.53,1726.76,1664.13,766.31M,2.34%
2020년 04월 01일,1685.46,1737.28,1762.44,1685.37,1.24B,-3.94%
2020년 03월 31일,1754.64,1739.29,1757.81,1722.62,1.04B,2.19%
2020년 03월 30일,1717.12,1670.34,1729.63,1659.95,767.78M,-0.04%
2020년 03월 27일,1717.73,1756.07,1759.05,1668.21,1.08B,1.87%
2020년 03월 26일,1686.24,1699.11,1735.75,1679.23,992.47M,-1.09%
2020년 03월 25일,1704.76,1668.19,1707.64,1645.28,872.81M,5.89%
2020년 03월 24일,1609.97,1523.69,1609.97,1508.68,679.29M,8.60%
2020년 03월 23일,1482.46,1474.45,1516.75,1458.41,647.53M,-5.34%
2020년 03월 20일,1566.15,1498.49,1566.82,1466.48,817.02M,7.44%
