연도,미국 환율,미국 증감값,미국 증감률,중국 환율,중국 증감값,중국 증감률
20000101,1138.25,138.35,,,,
20000104,1126.5,-11.75,-1.03,137.02,-1.33,-0.96
20000105,1125.4,-1.1,-0.1,135.97,-1.05,-0.77
20000106,1140,14.6,1.3,136.49,0.52,0.38
20000107,1153.25,13.25,1.16,137.58,1.09,0.8
20000108,1145.9,-7.35,-0.64,138.4,0.82,0.6
20000110,1134,-11.9,-1.04,138.4,0,0
20000111,1134.55,0.55,0.05,137.12,-1.28,-0.92
20000112,1150,15.45,1.36,137.36,0.24,0.18
20000113,1144.05,-5.95,-0.52,138.53,1.17,0.85
20000114,1128.75,-15.3,-1.34,137.5,-1.03,-0.74
20000115,1127.1,-1.65,-0.15,136.13,-1.37,-1
20000117,1117,-10.1,-0.9,136.13,0,0
20000118,1123.6,6.6,0.59,135.53,-0.6,-0.44
20000119,1128.65,5.05,0.45,135.81,0.28,0.21
20000120,1133.85,5.2,0.46,136.35,0.54,0.4
20000121,1130.75,-3.1,-0.27,136.75,0.4,0.29
20000122,1127.6,-3.15,-0.28,136.19,-0.56,-0.41
20000124,1127.5,-0.1,-0.01,136.19,0,0
20000125,1126.4,-1.1,-0.1,136.03,-0.16,-0.12
20000126,1126.35,-0.05,0,136,-0.03,-0.02
20000127,1127.05,0.7,0.06,136.12,0.12,0.09
20000128,1123.75,-3.3,-0.29,136.03,-0.09,-0.07
20000129,1122.1,-1.65,-0.15,135.55,-0.48,-0.35
20000131,1124,1.9,0.17,135.55,0,0
20000201,1123.5,-0.5,-0.04,135.96,0.41,0.3
20000202,1129.3,5.8,0.52,135.91,-0.05,-0.04
20000203,1129.1,-0.2,-0.02,136.64,0.73,0.54
20000207,1128.25,-0.85,-0.08,136.37,-0.27,-0.2
20000208,1131.85,3.6,0.32,136.37,0,0
20000209,1127.15,-4.7,-0.42,136.51,0.14,0.1
20000210,1121.7,-5.45,-0.48,135.95,-0.56,-0.41
20000211,1118.45,-3.25,-0.29,135.42,-0.53,-0.39
20000212,1116.8,-1.65,-0.15,134.9,-0.52,-0.38
